	Text	Date	Likes	Retweets	class_prediction
73	Leasing now available for Model 3 	2019-04-12 14:58:33	16180	1330	happiness
74	Thanks on behalf of @SpaceX team! We ♥️♥️♥️ @NASA! 	2019-04-11 23:41:13	56710	4171	neutral
75	The Falcons have landed 	2019-04-11 22:51:53	156209	21014	neutral
76	I first read this as making wind with 🧀 	2019-04-10 15:18:05	22412	1065	neutral
77	The Tesla Full Self-Driving Computer now in production is at about 5% compute load for these tasks or 10% with full fail-over redundancy 	2019-04-08 19:35:58	49707	5987	neutral
78	Starhopper 	2019-04-07 05:55:46	101563	6745	neutral
79	Tesla Enhanced Summon coming out in US next week for anyone with Enhanced Autopilot or Full Self-Driving option	2019-04-06 18:33:30	25564	1437	sadness
80	Latest Autopilot update is epic. Rolling out to all US owners with Enhanced Autopilot or Full Self-Driving option. International coming soon. 	2019-04-06 16:36:53	76465	11265	happiness
81	Starhopper just lifted off &amp; hit tether limits! 	2019-04-06 04:52:10	76169	7588	sadness
82	Static fire data looks good so far. This is first launch of Falcon Heavy Block 5, so we’re being extra cautious. Launch date might move. 	2019-04-05 17:11:37	17461	1116	happiness
83	“…drivers in this dataset use Autopilot for 34.8% of their driven miles, and yet appear to maintain a relatively high degree of functional vigilance.” 	2019-04-05 14:12:02	12587	1243	sadness
84	Stay positive 🧁 	2019-04-05 07:09:29	183904	41686	neutral
85	Starhopper completed tethered hop. All systems green. 	2019-04-04 01:25:01	24949	2831	sadness
86	This is way more awesome than it might sound 	2019-04-03 23:17:57	16564	895	neutral
87	"Obv just someone in a 🐿 suit. Also, very sus that a 🦊 is reporting on this.
"	2019-04-03 20:21:13	34561	2956	sadness
88	Dogecoin value may vary 	2019-04-02 20:38:38	22743	2330	neutral
89	Dogecoin rulz 	2019-04-02 20:16:58	153691	20970	neutral
90	Yup 	2019-04-02 09:21:19	32143	1876	neutral
91	♥️🇳🇴 Norway 🇳🇴♥️ 	2019-04-01 17:59:07	40280	3259	neutral
92	"Making The Onion articles real …
"	2019-04-01 01:34:42	58227	7071	neutral
93	Tesla Semi delivering Tesla cars 	2019-03-30 21:37:17	211218	17757	neutral
94	Amazing work by Tesla Delivery teams, especially in Europe &amp; China! Most insane logistics challenge I’ve ever seen. Thanks also to many country &amp; city officials for your help this weekend! Super appreciated.	2019-03-30 17:00:52	25923	1243	love
95	"Emo G Records
 "	2019-03-30 09:01:16	112667	19528	neutral
96	🦆	2019-03-30 06:02:00	192822	25240	neutral
97	Anyone who purchased full self-driving will get FSD computer upgrade for free. This is the only change between Autopilot HW2.5 &amp; HW3. Going forward “HW3” will just be called FSD Computer, which is accurate. No change to vehicle sensors or wire harness needed. This is v important. 	2019-03-29 22:50:18	14212	1129	happiness
98	That’s exactly it. You’re no longer mentally fatigued after a long drive. Makes a major difference to your happiness level commuting home from work after a long day. 	2019-03-26 16:24:51	23533	1563	sadness
99	Hard to appreciate how much Tesla Autopilot improves enjoyment of driving until you try it 	2019-03-26 16:18:09	13917	761	sadness
100	Thank you! 	2019-03-26 16:00:11	42511	1703	happiness
101	Please note prices on all Tesla inventory cars worldwide rise by ~3% on April 1	2019-03-24 19:10:45	28859	1445	happiness
102	New Tesla referral program just released 	2019-03-22 00:38:33	20163	1727	neutral
103	Testing Starship heatshield hex tiles 	2019-03-17 20:30:01	149214	12777	sadness
104	Reminder to buy our S3XY cars before midnight on Monday! Prices rise slightly worldwide on Tuesday. You can order online at 	2019-03-16 21:11:25	43176	3334	sadness
105	End Titles from Blade Runner played after Model Y webcast cut 	2019-03-16 00:30:31	16371	828	happiness
106	Designed to feel much bigger on inside than it looks on outside. An incredibly important principle. 	2019-03-16 00:16:32	38263	2183	happiness
107	London to Beijing Supercharger route 	2019-03-15 05:19:00	25882	1927	happiness
108	Worth watching Revenge of the Electric Car. Covers rebirth of electric cars in general. Has footage before &amp; after we started production of our first car. 	2019-03-14 22:21:05	20819	7124	sadness
109	S3XY 	2019-03-14 05:23:22	233761	35658	neutral
110	Looking forward to building a Boring Company tunnel in Vegas. Assuming to be operational by end of year! 	2019-03-12 19:48:18	32829	2435	happiness
111	Tesla car prices go up ~3% next week, except for $35k Model 3. Order online at  before then for current prices.	2019-03-12 04:02:38	26492	1702	sadness
112	Atmospheric entry at 17,000 mph is like a meteor &amp; will vaporize steel. Burn marks below are on cold side. Main heatshield on bottom. 	2019-03-08 18:45:08	59014	5329	sadness
113	Latest software improves Tesla Supercharger times by up to 25% for all Tesla S/X/3 worldwide, incl original 2012 Model S. Not splitting power across 2 Supercharger stalls helps all cars up to 50%. 	2019-03-07 21:13:08	25694	1664	happiness
114	Extremely important merch 	2019-03-07 19:57:42	283352	44415	neutral
115	Russia has excellent rocket engineering &amp; best engine currently flying. Reusable version of their new Angara rocket would be great. 	2019-03-07 18:50:34	19162	1833	sadness
116	Yeah, I lift a little … 	2019-03-06 09:11:34	773096	114038	neutral
117	Having toast &amp; jam in kitchen while playing Jamming by Bob Marley	2019-03-03 23:31:56	103259	9115	happiness
118	Model Y unveil event on March 14 at LA Design Studio	2019-03-03 22:19:49	84787	10651	happiness
119	First public Tesla V3.0 Supercharger Station goes live Wed 8pm	2019-03-03 22:17:29	36098	2453	happiness
120	SpaceX Crew Dragon has docked with International @Space_Station 	2019-03-03 11:15:21	89990	11394	happiness
121	Proximity docking sequence underway. Dragon shadow visible on on @Space_Station solar arrays. 	2019-03-03 10:03:32	29623	2785	sadness
122	Earth floats gently in zero gravity 	2019-03-02 10:22:20	88453	12029	happiness
123	SpaceX Crew Dragon recap  	2019-03-02 08:46:46	15459	2476	happiness
124	If you bought a Tesla before yesterday’s price reduction, you can have Autopilot or full self-driving at half normal cost (up to $6k less) 	2019-03-02 06:01:35	24956	1532	sadness
125	Super high tech zero-g indicator added just before launch! 	2019-03-02 04:31:33	109148	11476	happiness
126	Ripley 	2019-03-01 06:37:35	134828	12611	neutral
127	Exact Tesla Model 3 in my profile pic costs $35k before incentives &amp; takes 1 minute to buy online at 	2019-03-01 01:14:41	29276	3078	sadness
128	Make the Mars Technocracy real	2019-02-27 20:43:51	34178	3650	neutral
129	ET phone home. No answer 😢	2019-02-27 20:00:32	151107	15258	sadness
130	Stop censoring science! 	2019-02-27 07:31:31	181964	20792	neutral
131	Thursday 2pm	2019-02-27 06:40:37	86852	3855	neutral
132	Oh hi lol 	2019-02-26 00:02:37	404337	50104	neutral
133	Fate *loves* irony. Frankly, too much.	2019-02-25 21:48:50	85443	8036	sadness
134	Meetings are a valuable use of time! 	2019-02-25 20:43:13	230343	27071	neutral
135	Great meme review hosted by Will Smith 	2019-02-22 23:16:41	381120	56367	neutral
136	Highest reentry heating to date. Burning metal sparks from base heat shield visible in landing video. Fourth relight scheduled for April. 	2019-02-22 02:13:04	33567	2840	happiness
137	4000 Tesla cars loading in SF for Europe 	2019-02-20 00:02:34	225585	18914	neutral
138	SpaceX foundry casting Raptor engine manifold out of Inconel 	2019-02-16 10:44:37	138772	10750	sadness
139	Of course I still love you 	2019-02-15 01:05:21	172236	13067	neutral
140	CNBC - “Tesla Model 3 ranked most satisfying car” 	2019-02-14 07:05:40	25913	2230	happiness
141	Tesla Model X first SUV to receive a perfect crash test rating  via @businessinsider	2019-02-13 17:30:37	44136	4944	sadness
142	To air is human 	2019-02-12 19:59:47	71153	5137	neutral
143	Just left Zeebrugge, now Tilburg, then Tesla HQ in Amsterdam &amp; Oslo tonight to review service in Norway. Exciting to see thousands of Model 3’s on their way to owners in Europe! 	2019-02-09 13:50:35	47847	2813	sadness
144	😅 thank goodness it’s not November 	2019-02-09 00:17:50	412324	70891	happiness
145	Send me hot pics &amp; I’ll be right over 😉 	2019-02-09 00:10:40	236928	39434	happiness
146	I want you too baby 	2019-02-08 23:55:24	173419	23898	sadness
147	"Joe Rogan describes Tesla for 4 mins &amp; 20 secs
"	2019-02-08 22:45:59	30920	2586	sadness
148	Raptor just achieved power level needed for Starship &amp; Super Heavy 	2019-02-07 08:16:43	171879	16098	happiness
149	First firing of Starship Raptor flight engine! So proud of great work by @SpaceX team!! 	2019-02-04 03:49:31	185216	20959	sadness
150	At @SpaceX Texas with engineering team getting ready to fire new Raptor rocket engine 	2019-02-03 07:15:33	52246	3225	sadness
151	Only a matter of time 	2019-02-03 06:34:13	287730	42292	neutral
152	How Model 3 performs on a long road trip  	2019-02-03 00:52:48	13038	931	happiness
153	Yes 	2019-02-02 21:32:25	338253	56749	neutral
154	💩 looks like sentient choc ice cream	2019-02-02 00:42:31	78533	7116	sadness
155	Just bought  oh yeah	2019-02-01 23:35:42	142966	22445	neutral
156	Preparing to fire the Starship Raptor engine at @SpaceX Texas 	2019-02-01 02:00:13	65812	6611	neutral
157	"Exciting to see all the new electric vehicles coming to market! We created Tesla to accelerate a sustainable future &amp; it’s happening!
"	2019-01-31 20:56:47	35123	3854	sadness
158	If heat death will be inevitable end of Universe, it actually *is* all about journey 🤔	2019-01-30 20:07:22	71144	7626	happiness
159	Entropy is the ultimate boss battle 	2019-01-30 19:12:25	43646	4722	neutral
160	tbh smh	2019-01-30 08:00:52	273272	79622	neutral
161	All we had back then was carpet &amp; a mariachi band. Now, SPACESHIP!! 	2019-01-28 18:09:34	180879	25670	happiness
162	Great electric car documentary about early days of Tesla, GM Volt, Nissan Leaf &amp; Gadget. So much has happened since then … 	2019-01-28 17:20:17	21192	2313	sadness
163	Host meme review? 	2019-01-27 22:54:04	697451	141036	neutral
164	Tap Tesla logo at top of your car’s touchscreen &amp; wait 10 secs to open special features box	2019-01-27 20:29:20	66677	3253	happiness
165	Still my favorite tweet of all time 	2019-01-27 03:42:36	131390	13595	happiness
166	"Tesla Sentry Mode will play Bach’s Toccata and Fugue during a robbery (and keep Summer safe)
"	2019-01-27 02:49:48	32349	3849	happiness
167	Awesome moose sculpture! ♥️🇳🇴 	2019-01-25 18:05:28	120352	6648	neutral
168	Testing metallic heat shield at 1100C (2000F) @SpaceX 	2019-01-25 06:09:16	58798	5575	neutral
169	If test flight of 🐉 goes well next month, @NASA 👨‍🚀 👩‍🚀 will 🚀 to @Space_Station this summer!	2019-01-25 05:36:21	51928	4221	sadness
170	Tesla Sentry Mode coming soon for all cars with Enhanced Autopilot 	2019-01-22 23:08:20	52631	3815	neutral
171	"Blood moon over LA tonight 
(@kzooastro) "	2019-01-21 05:44:31	134864	14529	happiness
172	The Tesla customer referral program will end on Feb 1. If you want to refer a friend to buy a Tesla &amp; give them 6 months of free Supercharging, please do so before then.	2019-01-17 05:31:17	32039	2242	sadness
173	Glad you like it 	2019-01-15 00:15:12	348668	32598	sadness
174	LA is so beautiful after the rain 	2019-01-14 01:01:34	125370	6366	neutral
175	SpaceX Dragon from as seen from @Space_Station viewport 	2019-01-13 22:45:10	17143	1030	neutral
176	Falcon comes home 	2019-01-13 21:00:00	96363	5554	sadness
177	View of SpaceX Dragon 1 berthed with @Space_Station in the last Cupola opening. Dragon 2 (Crew Dragon) launching soon. 	2019-01-13 18:31:23	17970	2021	sadness
178	It needed to be made real 	2019-01-11 09:00:32	97209	8547	love
179	Starship Hopper will do vertical flight tests similar to the Falcon 9 Hopper 	2019-01-11 04:31:39	13740	1243	sadness
180	Starship test flight rocket just finished assembly at the @SpaceX Texas launch site. This is an actual picture, not a rendering. 	2019-01-11 03:31:40	128937	23487	love
181	Tesla *with* Autopilot engaged is twice as safe &amp; continues to make steady improvements 	2019-01-10 06:40:31	37673	3466	happiness
182	Starting on Monday, Tesla will no longer be taking orders for the 75 kWh version of the Model S &amp; X. If you’d like that version, please order by Sunday night at 	2019-01-09 23:19:32	9483	986	sadness
183	Btw, you can buy a Tesla online in less than 2 mins &amp; give it back for a full refund for any reason 	2019-01-09 22:02:56	39800	4486	sadness
184	The new Roadster will actually do something like this 	2019-01-09 20:19:14	160464	23526	sadness
185	And now … we dance! 	2019-01-08 10:06:31	115435	7473	happiness
186	#NewProfilePic 	2019-01-07 07:42:25	329524	37040	neutral
187	Looking forward to breaking ground on the @Tesla Shanghai Gigafactory today!	2019-01-07 02:36:26	40330	2278	happiness
188	Good sign that almost no Model 3 owners want to sell their cars! 	2019-01-07 01:06:52	24305	1472	sadness
189	Falcon 9 on launch pad with Crew Dragon &amp; new astronaut walkway 	2019-01-06 18:52:09	77244	8617	sadness
190	Matt DeBord reviews all Tesla models  via @businessinsider	2019-01-05 15:57:41	7168	511	neutral
191	Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc. 	2019-01-05 15:42:36	105207	13669	sadness
192	Good shot of @SpaceX Starship flight test vehicle being assembled in Boca Chica, Texas 	2019-01-05 15:31:40	25989	2636	sadness
193	About a month away from the first orbital test flight of crew Dragon 	2019-01-05 07:56:46	49897	5153	neutral
194	Three quarks for Muster Mark!	2019-01-04 20:39:58	20470	724	neutral
195	…	2019-01-04 19:47:50	149766	21637	neutral
196	There are no coincidences 	2019-01-03 23:04:15	677113	164080	neutral
197	Model 3 mid-range EPA rating is actually 264 miles, slightly higher than prior estimate of 260 	2019-01-03 22:31:27	10731	764	happiness
198	Great work by Tesla Team! 	2019-01-03 01:25:02	35750	2650	neutral
199	Congratulations @Tesla team!! 	2019-01-01 07:17:51	81390	3401	neutral
